County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
01 - Alameda,9/30/2013,In Review,$50914315.00,45,Bay Area Counties
01 - Alameda,9/30/2013,Pending Construction,$840182510.04,126,Bay Area Counties
01 - Alameda,9/30/2013,In Construction,$994352932.29,181,Bay Area Counties
01 - Alameda,9/30/2013,In Closure,$65255928.88,81,Bay Area Counties
07 - Contra Costa,9/30/2013,In Review,$19067925.00,28,Bay Area Counties
07 - Contra Costa,9/30/2013,Pending Construction,$19570172.00,43,Bay Area Counties
07 - Contra Costa,9/30/2013,In Construction,$40655626.98,56,Bay Area Counties
07 - Contra Costa,9/30/2013,In Closure,$2110283.62,20,Bay Area Counties
09 - El Dorado,9/30/2013,In Review,$11759315.00,6,Greater Sacramento Counties
09 - El Dorado,9/30/2013,Pending Construction,$38333.00,2,Greater Sacramento Counties
09 - El Dorado,9/30/2013,In Construction,$12111964.00,5,Greater Sacramento Counties
09 - El Dorado,9/30/2013,In Closure,$23367713.00,4,Greater Sacramento Counties
19 - Los Angeles,9/30/2013,In Review,$578064315.85,439,Greater Los Angeles Counties
19 - Los Angeles,9/30/2013,Pending Construction,$236627856.22,564,Greater Los Angeles Counties
19 - Los Angeles,9/30/2013,In Construction,$2354038459.31,868,Greater Los Angeles Counties
19 - Los Angeles,9/30/2013,In Closure,$545909201.35,629,Greater Los Angeles Counties
21 - Marin,9/30/2013,In Review,$178957915.00,17,Bay Area Counties
21 - Marin,9/30/2013,Pending Construction,$44515860.00,9,Bay Area Counties
21 - Marin,9/30/2013,In Construction,$25456399.00,21,Bay Area Counties
21 - Marin,9/30/2013,In Closure,$6820196.00,18,Bay Area Counties
28 - Napa,9/30/2013,In Review,$820000.00,3,Bay Area Counties
28 - Napa,9/30/2013,Pending Construction,$12801298.00,8,Bay Area Counties
28 - Napa,9/30/2013,In Construction,$33627738.00,15,Bay Area Counties
28 - Napa,9/30/2013,In Closure,$49377790.00,22,Bay Area Counties
30 - Orange,9/30/2013,In Review,$83071242.66,99,Greater Los Angeles Counties
30 - Orange,9/30/2013,Pending Construction,$33919898.33,120,Greater Los Angeles Counties
30 - Orange,9/30/2013,In Construction,$285243379.13,132,Greater Los Angeles Counties
30 - Orange,9/30/2013,In Closure,$320392420.16,189,Greater Los Angeles Counties
31 - Placer,9/30/2013,In Review,$8772190.00,7,Greater Sacramento Counties
31 - Placer,9/30/2013,Pending Construction,$817754.00,5,Greater Sacramento Counties
31 - Placer,9/30/2013,In Construction,$56647157.80,18,Greater Sacramento Counties
31 - Placer,9/30/2013,In Closure,$76359994.61,16,Greater Sacramento Counties
34 - Sacramento,9/30/2013,In Review,$47476953.00,45,Greater Sacramento Counties
34 - Sacramento,9/30/2013,Pending Construction,$91730546.00,36,Greater Sacramento Counties
34 - Sacramento,9/30/2013,In Construction,$266665043.01,119,Greater Sacramento Counties
34 - Sacramento,9/30/2013,In Closure,$114055042.45,56,Greater Sacramento Counties
38 - San Francisco,9/30/2013,In Review,$945991053.98,64,Bay Area Counties
38 - San Francisco,9/30/2013,Pending Construction,$461799530.38,67,Bay Area Counties
38 - San Francisco,9/30/2013,In Construction,$1043690219.62,139,Bay Area Counties
38 - San Francisco,9/30/2013,In Closure,$291548199.61,102,Bay Area Counties
41 - San Mateo,9/30/2013,In Review,$77204622.16,30,Bay Area Counties
41 - San Mateo,9/30/2013,Pending Construction,$35796138.96,30,Bay Area Counties
41 - San Mateo,9/30/2013,In Construction,$330259579.94,72,Bay Area Counties
41 - San Mateo,9/30/2013,In Closure,$58061263.01,38,Bay Area Counties
43 - Santa Clara,9/30/2013,In Review,$762828738.97,81,Bay Area Counties
43 - Santa Clara,9/30/2013,Pending Construction,$179073014.20,71,Bay Area Counties
43 - Santa Clara,9/30/2013,In Construction,$770953886.43,168,Bay Area Counties
43 - Santa Clara,9/30/2013,In Closure,$88554637.09,140,Bay Area Counties
48 - Solano,9/30/2013,In Review,$3820069.00,13,Bay Area Counties
48 - Solano,9/30/2013,Pending Construction,$20238515.00,11,Bay Area Counties
48 - Solano,9/30/2013,In Construction,$30042209.13,29,Bay Area Counties
48 - Solano,9/30/2013,In Closure,$32478461.00,21,Bay Area Counties
49 - Sonoma,9/30/2013,In Review,$31381318.60,14,Bay Area Counties
49 - Sonoma,9/30/2013,Pending Construction,$6366395.00,23,Bay Area Counties
49 - Sonoma,9/30/2013,In Construction,$132698275.30,46,Bay Area Counties
49 - Sonoma,9/30/2013,In Closure,$33007256.61,19,Bay Area Counties
56 - Ventura,9/30/2013,In Review,$235193920.66,37,Greater Los Angeles Counties
56 - Ventura,9/30/2013,Pending Construction,$32239356.33,36,Greater Los Angeles Counties
56 - Ventura,9/30/2013,In Construction,$375405999.00,65,Greater Los Angeles Counties
56 - Ventura,9/30/2013,In Closure,$30228225.00,51,Greater Los Angeles Counties
57 - Yolo,9/30/2013,In Review,$683540.00,5,Greater Sacramento Counties
57 - Yolo,9/30/2013,Pending Construction,$584000.00,3,Greater Sacramento Counties
57 - Yolo,9/30/2013,In Construction,$1483044.00,7,Greater Sacramento Counties
57 - Yolo,9/30/2013,In Closure,$63505.00,3,Greater Sacramento Counties
01 - Alameda,10/8/2013,In Review,$50890315.00,44,Bay Area Counties
01 - Alameda,10/8/2013,Pending Construction,$840242543.36,125,Bay Area Counties
01 - Alameda,10/8/2013,In Construction,$994245713.95,181,Bay Area Counties
01 - Alameda,10/8/2013,In Closure,$65337613.88,82,Bay Area Counties
07 - Contra Costa,10/8/2013,In Review,$19079779.00,29,Bay Area Counties
07 - Contra Costa,10/8/2013,Pending Construction,$19570172.00,43,Bay Area Counties
07 - Contra Costa,10/8/2013,In Construction,$40655626.98,56,Bay Area Counties
07 - Contra Costa,10/8/2013,In Closure,$0.00,18,Bay Area Counties
09 - El Dorado,10/8/2013,In Review,$11759315.00,6,Greater Sacramento Counties
09 - El Dorado,10/8/2013,Pending Construction,$38333.00,2,Greater Sacramento Counties
09 - El Dorado,10/8/2013,In Construction,$12111964.00,5,Greater Sacramento Counties
09 - El Dorado,10/8/2013,In Closure,$23367713.00,4,Greater Sacramento Counties
19 - Los Angeles,10/8/2013,In Review,$545783590.05,434,Greater Los Angeles Counties
19 - Los Angeles,10/8/2013,Pending Construction,$239724225.82,568,Greater Los Angeles Counties
19 - Los Angeles,10/8/2013,In Construction,$2339840925.53,843,Greater Los Angeles Counties
19 - Los Angeles,10/8/2013,In Closure,$573078827.34,655,Greater Los Angeles Counties
21 - Marin,10/8/2013,In Review,$178957915.00,17,Bay Area Counties
21 - Marin,10/8/2013,Pending Construction,$44515860.00,9,Bay Area Counties
21 - Marin,10/8/2013,In Construction,$25456399.00,21,Bay Area Counties
21 - Marin,10/8/2013,In Closure,$5510444.00,12,Bay Area Counties
28 - Napa,10/8/2013,In Review,$875000.00,4,Bay Area Counties
28 - Napa,10/8/2013,Pending Construction,$12801298.00,8,Bay Area Counties
28 - Napa,10/8/2013,In Construction,$33159755.00,14,Bay Area Counties
28 - Napa,10/8/2013,In Closure,$50466031.00,20,Bay Area Counties
30 - Orange,10/8/2013,In Review,$83171304.66,98,Greater Los Angeles Counties
30 - Orange,10/8/2013,Pending Construction,$33930898.33,121,Greater Los Angeles Counties
30 - Orange,10/8/2013,In Construction,$285215772.13,133,Greater Los Angeles Counties
30 - Orange,10/8/2013,In Closure,$319888695.16,191,Greater Los Angeles Counties
31 - Placer,10/8/2013,In Review,$8897190.00,8,Greater Sacramento Counties
31 - Placer,10/8/2013,Pending Construction,$817754.00,5,Greater Sacramento Counties
31 - Placer,10/8/2013,In Construction,$56620358.80,17,Greater Sacramento Counties
31 - Placer,10/8/2013,In Closure,$76386793.61,17,Greater Sacramento Counties
34 - Sacramento,10/8/2013,In Review,$46784298.00,44,Greater Sacramento Counties
34 - Sacramento,10/8/2013,Pending Construction,$92122261.00,37,Greater Sacramento Counties
34 - Sacramento,10/8/2013,In Construction,$266798568.01,120,Greater Sacramento Counties
34 - Sacramento,10/8/2013,In Closure,$110752565.40,51,Greater Sacramento Counties
38 - San Francisco,10/8/2013,In Review,$941144053.98,63,Bay Area Counties
38 - San Francisco,10/8/2013,Pending Construction,$461843530.38,67,Bay Area Counties
38 - San Francisco,10/8/2013,In Construction,$1043478037.62,136,Bay Area Counties
38 - San Francisco,10/8/2013,In Closure,$296224727.61,101,Bay Area Counties
41 - San Mateo,10/8/2013,In Review,$76750622.16,28,Bay Area Counties
41 - San Mateo,10/8/2013,Pending Construction,$36040138.96,32,Bay Area Counties
41 - San Mateo,10/8/2013,In Construction,$329339610.94,67,Bay Area Counties
41 - San Mateo,10/8/2013,In Closure,$59086232.01,42,Bay Area Counties
43 - Santa Clara,10/8/2013,In Review,$763865453.25,80,Bay Area Counties
43 - Santa Clara,10/8/2013,Pending Construction,$178505703.77,71,Bay Area Counties
43 - Santa Clara,10/8/2013,In Construction,$769666467.77,165,Bay Area Counties
43 - Santa Clara,10/8/2013,In Closure,$91227844.85,141,Bay Area Counties
48 - Solano,10/8/2013,In Review,$3770069.00,11,Bay Area Counties
48 - Solano,10/8/2013,Pending Construction,$9788515.00,12,Bay Area Counties
48 - Solano,10/8/2013,In Construction,$42042209.13,30,Bay Area Counties
48 - Solano,10/8/2013,In Closure,$31418524.00,17,Bay Area Counties
49 - Sonoma,10/8/2013,In Review,$31381318.60,14,Bay Area Counties
49 - Sonoma,10/8/2013,Pending Construction,$6376395.00,24,Bay Area Counties
49 - Sonoma,10/8/2013,In Construction,$132633275.30,45,Bay Area Counties
49 - Sonoma,10/8/2013,In Closure,$32737034.30,18,Bay Area Counties
56 - Ventura,10/8/2013,In Review,$235177920.66,35,Greater Los Angeles Counties
56 - Ventura,10/8/2013,Pending Construction,$32449356.33,36,Greater Los Angeles Counties
56 - Ventura,10/8/2013,In Construction,$375407499.00,65,Greater Los Angeles Counties
56 - Ventura,10/8/2013,In Closure,$30244225.00,53,Greater Los Angeles Counties
57 - Yolo,10/8/2013,In Review,$683540.00,5,Greater Sacramento Counties
57 - Yolo,10/8/2013,Pending Construction,$584000.00,3,Greater Sacramento Counties
57 - Yolo,10/8/2013,In Construction,$1483044.00,7,Greater Sacramento Counties
57 - Yolo,10/8/2013,In Closure,$63505.00,3,Greater Sacramento Counties
01 - Alameda,10/31/2013,In Review,$45409835.00,50,Bay Area Counties
01 - Alameda,10/31/2013,Pending Construction,$569364370.28,119,Bay Area Counties
01 - Alameda,10/31/2013,In Construction,$1263710158.63,182,Bay Area Counties
01 - Alameda,10/31/2013,In Closure,$71827633.86,79,Bay Area Counties
07 - Contra Costa,10/31/2013,In Review,$18949040.00,27,Bay Area Counties
07 - Contra Costa,10/31/2013,Pending Construction,$18542516.00,42,Bay Area Counties
07 - Contra Costa,10/31/2013,In Construction,$37518864.98,59,Bay Area Counties
07 - Contra Costa,10/31/2013,In Closure,$4910047.00,18,Bay Area Counties
09 - El Dorado,10/31/2013,In Review,$11759315.00,6,Greater Sacramento Counties
09 - El Dorado,10/31/2013,Pending Construction,$12500.00,1,Greater Sacramento Counties
09 - El Dorado,10/31/2013,In Construction,$12210865.00,6,Greater Sacramento Counties
09 - El Dorado,10/31/2013,In Closure,$23367713.00,4,Greater Sacramento Counties
19 - Los Angeles,10/31/2013,In Review,$518443508.18,410,Greater Los Angeles Counties
19 - Los Angeles,10/31/2013,Pending Construction,$208788095.48,506,Greater Los Angeles Counties
19 - Los Angeles,10/31/2013,In Construction,$2319040139.70,855,Greater Los Angeles Counties
19 - Los Angeles,10/31/2013,In Closure,$561844975.66,677,Greater Los Angeles Counties
21 - Marin,10/31/2013,In Review,$178947915.00,18,Bay Area Counties
21 - Marin,10/31/2013,Pending Construction,$44770375.00,11,Bay Area Counties
21 - Marin,10/31/2013,In Construction,$25346899.00,20,Bay Area Counties
21 - Marin,10/31/2013,In Closure,$4671837.00,11,Bay Area Counties
28 - Napa,10/31/2013,In Review,$1035000.00,5,Bay Area Counties
28 - Napa,10/31/2013,Pending Construction,$669298.00,6,Bay Area Counties
28 - Napa,10/31/2013,In Construction,$34384230.00,13,Bay Area Counties
28 - Napa,10/31/2013,In Closure,$50549387.76,22,Bay Area Counties
30 - Orange,10/31/2013,In Review,$24759361.33,72,Greater Los Angeles Counties
30 - Orange,10/31/2013,Pending Construction,$37318492.33,71,Greater Los Angeles Counties
30 - Orange,10/31/2013,In Construction,$286587802.14,143,Greater Los Angeles Counties
30 - Orange,10/31/2013,In Closure,$322055635.51,199,Greater Los Angeles Counties
31 - Placer,10/31/2013,In Review,$8997190.00,9,Greater Sacramento Counties
31 - Placer,10/31/2013,Pending Construction,$694000.00,6,Greater Sacramento Counties
31 - Placer,10/31/2013,In Construction,$56976629.80,18,Greater Sacramento Counties
31 - Placer,10/31/2013,In Closure,$76386793.61,17,Greater Sacramento Counties
34 - Sacramento,10/31/2013,In Review,$47671930.00,37,Greater Sacramento Counties
34 - Sacramento,10/31/2013,Pending Construction,$93304887.00,39,Greater Sacramento Counties
34 - Sacramento,10/31/2013,In Construction,$266714209.86,127,Greater Sacramento Counties
34 - Sacramento,10/31/2013,In Closure,$106858864.62,51,Greater Sacramento Counties
38 - San Francisco,10/31/2013,In Review,$919625973.31,62,Bay Area Counties
38 - San Francisco,10/31/2013,Pending Construction,$482606378.11,61,Bay Area Counties
38 - San Francisco,10/31/2013,In Construction,$1039723884.22,132,Bay Area Counties
38 - San Francisco,10/31/2013,In Closure,$290313873.35,98,Bay Area Counties
41 - San Mateo,10/31/2013,In Review,$74115764.16,27,Bay Area Counties
41 - San Mateo,10/31/2013,Pending Construction,$40621929.46,29,Bay Area Counties
41 - San Mateo,10/31/2013,In Construction,$348313670.95,65,Bay Area Counties
41 - San Mateo,10/31/2013,In Closure,$66382812.79,44,Bay Area Counties
43 - Santa Clara,10/31/2013,In Review,$713665546.86,73,Bay Area Counties
43 - Santa Clara,10/31/2013,Pending Construction,$64901105.00,62,Bay Area Counties
43 - Santa Clara,10/31/2013,In Construction,$928177745.90,160,Bay Area Counties
43 - Santa Clara,10/31/2013,In Closure,$95076342.95,130,Bay Area Counties
48 - Solano,10/31/2013,In Review,$3834399.00,13,Bay Area Counties
48 - Solano,10/31/2013,Pending Construction,$10073105.00,12,Bay Area Counties
48 - Solano,10/31/2013,In Construction,$42060213.13,30,Bay Area Counties
48 - Solano,10/31/2013,In Closure,$31650416.00,19,Bay Area Counties
49 - Sonoma,10/31/2013,In Review,$30909318.60,13,Bay Area Counties
49 - Sonoma,10/31/2013,Pending Construction,$6849255.00,23,Bay Area Counties
49 - Sonoma,10/31/2013,In Construction,$131977564.30,44,Bay Area Counties
49 - Sonoma,10/31/2013,In Closure,$33643426.30,19,Bay Area Counties
56 - Ventura,10/31/2013,In Review,$235049632.66,42,Greater Los Angeles Counties
56 - Ventura,10/31/2013,Pending Construction,$29541356.33,34,Greater Los Angeles Counties
56 - Ventura,10/31/2013,In Construction,$374855499.00,67,Greater Los Angeles Counties
56 - Ventura,10/31/2013,In Closure,$34663225.00,55,Greater Los Angeles Counties
57 - Yolo,10/31/2013,In Review,$745911.00,6,Greater Sacramento Counties
57 - Yolo,10/31/2013,Pending Construction,$584000.00,3,Greater Sacramento Counties
57 - Yolo,10/31/2013,In Construction,$1487144.00,8,Greater Sacramento Counties
57 - Yolo,10/31/2013,In Closure,$59405.00,2,Greater Sacramento Counties
01 - Alameda,11/14/2013,In Review,$37919835.00,46,Bay Area Counties
01 - Alameda,11/14/2013,Pending Construction,$409243809.28,123,Bay Area Counties
01 - Alameda,11/14/2013,In Construction,$1473794711.63,184,Bay Area Counties
01 - Alameda,11/14/2013,In Closure,$71666736.80,74,Bay Area Counties
07 - Contra Costa,11/14/2013,In Review,$17827243.00,23,Bay Area Counties
07 - Contra Costa,11/14/2013,Pending Construction,$19663813.00,46,Bay Area Counties
07 - Contra Costa,11/14/2013,In Construction,$37597941.98,57,Bay Area Counties
07 - Contra Costa,11/14/2013,In Closure,$4951070.00,21,Bay Area Counties
09 - El Dorado,11/14/2013,In Review,$11759315.00,6,Greater Sacramento Counties
09 - El Dorado,11/14/2013,Pending Construction,$12500.00,1,Greater Sacramento Counties
09 - El Dorado,11/14/2013,In Construction,$12210865.00,6,Greater Sacramento Counties
09 - El Dorado,11/14/2013,In Closure,$23367713.00,4,Greater Sacramento Counties
19 - Los Angeles,11/14/2013,In Review,$523786736.18,421,Greater Los Angeles Counties
19 - Los Angeles,11/14/2013,Pending Construction,$203257903.48,506,Greater Los Angeles Counties
19 - Los Angeles,11/14/2013,In Construction,$2272683654.33,853,Greater Los Angeles Counties
19 - Los Angeles,11/14/2013,In Closure,$610679424.99,693,Greater Los Angeles Counties
21 - Marin,11/14/2013,In Review,$178628715.00,15,Bay Area Counties
21 - Marin,11/14/2013,Pending Construction,$44494250.00,11,Bay Area Counties
21 - Marin,11/14/2013,In Construction,$24009064.00,20,Bay Area Counties
21 - Marin,11/14/2013,In Closure,$6612121.00,14,Bay Area Counties
28 - Napa,11/14/2013,In Review,$360000.00,5,Bay Area Counties
28 - Napa,11/14/2013,Pending Construction,$669298.00,6,Bay Area Counties
28 - Napa,11/14/2013,In Construction,$34346720.00,12,Bay Area Counties
28 - Napa,11/14/2013,In Closure,$50586897.76,23,Bay Area Counties
30 - Orange,11/14/2013,In Review,$26861302.33,73,Greater Los Angeles Counties
30 - Orange,11/14/2013,Pending Construction,$32789342.33,64,Greater Los Angeles Counties
30 - Orange,11/14/2013,In Construction,$291644855.14,145,Greater Los Angeles Counties
30 - Orange,11/14/2013,In Closure,$325743866.51,204,Greater Los Angeles Counties
31 - Placer,11/14/2013,In Review,$8992190.00,8,Greater Sacramento Counties
31 - Placer,11/14/2013,Pending Construction,$686000.00,6,Greater Sacramento Counties
31 - Placer,11/14/2013,In Construction,$56989805.80,19,Greater Sacramento Counties
31 - Placer,11/14/2013,In Closure,$76386793.61,17,Greater Sacramento Counties
34 - Sacramento,11/14/2013,In Review,$45611517.00,37,Greater Sacramento Counties
34 - Sacramento,11/14/2013,Pending Construction,$93612163.19,39,Greater Sacramento Counties
34 - Sacramento,11/14/2013,In Construction,$263004483.86,126,Greater Sacramento Counties
34 - Sacramento,11/14/2013,In Closure,$110705032.62,53,Greater Sacramento Counties
38 - San Francisco,11/14/2013,In Review,$922753867.31,63,Bay Area Counties
38 - San Francisco,11/14/2013,Pending Construction,$485233878.11,67,Bay Area Counties
38 - San Francisco,11/14/2013,In Construction,$1038630701.22,127,Bay Area Counties
38 - San Francisco,11/14/2013,In Closure,$289569920.35,100,Bay Area Counties
41 - San Mateo,11/14/2013,In Review,$74195764.16,28,Bay Area Counties
41 - San Mateo,11/14/2013,Pending Construction,$40544129.46,28,Bay Area Counties
41 - San Mateo,11/14/2013,In Construction,$329677107.77,63,Bay Area Counties
41 - San Mateo,11/14/2013,In Closure,$84752611.96,44,Bay Area Counties
43 - Santa Clara,11/14/2013,In Review,$713825551.53,75,Bay Area Counties
43 - Santa Clara,11/14/2013,Pending Construction,$15049505.00,57,Bay Area Counties
43 - Santa Clara,11/14/2013,In Construction,$972346430.15,154,Bay Area Counties
43 - Santa Clara,11/14/2013,In Closure,$99179116.04,132,Bay Area Counties
48 - Solano,11/14/2013,In Review,$3765159.00,12,Bay Area Counties
48 - Solano,11/14/2013,Pending Construction,$10262345.00,14,Bay Area Counties
48 - Solano,11/14/2013,In Construction,$42064213.13,30,Bay Area Counties
48 - Solano,11/14/2013,In Closure,$31650416.00,19,Bay Area Counties
49 - Sonoma,11/14/2013,In Review,$30712318.60,12,Bay Area Counties
49 - Sonoma,11/14/2013,Pending Construction,$6933255.00,24,Bay Area Counties
49 - Sonoma,11/14/2013,In Construction,$131842231.30,43,Bay Area Counties
49 - Sonoma,11/14/2013,In Closure,$33878759.30,21,Bay Area Counties
56 - Ventura,11/14/2013,In Review,$235097132.66,44,Greater Los Angeles Counties
56 - Ventura,11/14/2013,Pending Construction,$9948734.33,34,Greater Los Angeles Counties
56 - Ventura,11/14/2013,In Construction,$393845321.00,67,Greater Los Angeles Counties
56 - Ventura,11/14/2013,In Closure,$34632725.00,56,Greater Los Angeles Counties
57 - Yolo,11/14/2013,In Review,$745911.00,6,Greater Sacramento Counties
57 - Yolo,11/14/2013,Pending Construction,$584000.00,3,Greater Sacramento Counties
57 - Yolo,11/14/2013,In Construction,$1487144.00,8,Greater Sacramento Counties
57 - Yolo,11/14/2013,In Closure,$59405.00,2,Greater Sacramento Counties
01 - Alameda,11/26/2013,In Review,$38007008.00,45,Bay Area Counties
01 - Alameda,11/26/2013,Pending Construction,$409183809.28,123,Bay Area Counties
01 - Alameda,11/26/2013,In Construction,$1473935711.63,186,Bay Area Counties
01 - Alameda,11/26/2013,In Closure,$63901456.80,65,Bay Area Counties
07 - Contra Costa,11/26/2013,In Review,$23169279.00,26,Bay Area Counties
07 - Contra Costa,11/26/2013,Pending Construction,$20545102.00,47,Bay Area Counties
07 - Contra Costa,11/26/2013,In Construction,$37618933.98,57,Bay Area Counties
07 - Contra Costa,11/26/2013,In Closure,$5006070.00,22,Bay Area Counties
09 - El Dorado,11/26/2013,In Review,$11759315.00,6,Greater Sacramento Counties
09 - El Dorado,11/26/2013,Pending Construction,$12500.00,1,Greater Sacramento Counties
09 - El Dorado,11/26/2013,In Construction,$12210865.00,6,Greater Sacramento Counties
09 - El Dorado,11/26/2013,In Closure,$23367713.00,4,Greater Sacramento Counties
19 - Los Angeles,11/26/2013,In Review,$516167812.18,432,Greater Los Angeles Counties
19 - Los Angeles,11/26/2013,Pending Construction,$244819196.48,498,Greater Los Angeles Counties
19 - Los Angeles,11/26/2013,In Construction,$2241050659.83,856,Greater Los Angeles Counties
19 - Los Angeles,11/26/2013,In Closure,$617484624.49,709,Greater Los Angeles Counties
21 - Marin,11/26/2013,In Review,$178628715.00,15,Bay Area Counties
21 - Marin,11/26/2013,Pending Construction,$44682250.00,11,Bay Area Counties
21 - Marin,11/26/2013,In Construction,$24286201.00,21,Bay Area Counties
21 - Marin,11/26/2013,In Closure,$6563197.00,13,Bay Area Counties
28 - Napa,11/26/2013,In Review,$360000.00,5,Bay Area Counties
28 - Napa,11/26/2013,Pending Construction,$669298.00,6,Bay Area Counties
28 - Napa,11/26/2013,In Construction,$34346720.00,12,Bay Area Counties
28 - Napa,11/26/2013,In Closure,$50586897.76,23,Bay Area Counties
30 - Orange,11/26/2013,In Review,$27335668.33,81,Greater Los Angeles Counties
30 - Orange,11/26/2013,Pending Construction,$23735085.33,63,Greater Los Angeles Counties
30 - Orange,11/26/2013,In Construction,$297859410.14,147,Greater Los Angeles Counties
30 - Orange,11/26/2013,In Closure,$325895072.51,206,Greater Los Angeles Counties
31 - Placer,11/26/2013,In Review,$9412190.00,10,Greater Sacramento Counties
31 - Placer,11/26/2013,Pending Construction,$686000.00,6,Greater Sacramento Counties
31 - Placer,11/26/2013,In Construction,$57004805.80,19,Greater Sacramento Counties
31 - Placer,11/26/2013,In Closure,$76386793.61,17,Greater Sacramento Counties
34 - Sacramento,11/26/2013,In Review,$46190930.00,35,Greater Sacramento Counties
34 - Sacramento,11/26/2013,Pending Construction,$93108006.19,40,Greater Sacramento Counties
34 - Sacramento,11/26/2013,In Construction,$262677418.74,125,Greater Sacramento Counties
34 - Sacramento,11/26/2013,In Closure,$112049470.05,58,Greater Sacramento Counties
38 - San Francisco,11/26/2013,In Review,$924817398.31,66,Bay Area Counties
38 - San Francisco,11/26/2013,Pending Construction,$485233878.11,67,Bay Area Counties
38 - San Francisco,11/26/2013,In Construction,$1035694000.22,123,Bay Area Counties
38 - San Francisco,11/26/2013,In Closure,$289400909.35,98,Bay Area Counties
41 - San Mateo,11/26/2013,In Review,$74317512.52,28,Bay Area Counties
41 - San Mateo,11/26/2013,Pending Construction,$40474829.46,25,Bay Area Counties
41 - San Mateo,11/26/2013,In Construction,$329136538.77,65,Bay Area Counties
41 - San Mateo,11/26/2013,In Closure,$85511700.96,45,Bay Area Counties
43 - Santa Clara,11/26/2013,In Review,$714272560.42,76,Bay Area Counties
43 - Santa Clara,11/26/2013,Pending Construction,$14550605.00,60,Bay Area Counties
43 - Santa Clara,11/26/2013,In Construction,$972321729.32,151,Bay Area Counties
43 - Santa Clara,11/26/2013,In Closure,$104121328.04,134,Bay Area Counties
48 - Solano,11/26/2013,In Review,$3765159.00,12,Bay Area Counties
48 - Solano,11/26/2013,Pending Construction,$9844845.00,12,Bay Area Counties
48 - Solano,11/26/2013,In Construction,$42405877.13,29,Bay Area Counties
48 - Solano,11/26/2013,In Closure,$32463073.00,22,Bay Area Counties
49 - Sonoma,11/26/2013,In Review,$30691568.60,12,Bay Area Counties
49 - Sonoma,11/26/2013,Pending Construction,$6968255.00,24,Bay Area Counties
49 - Sonoma,11/26/2013,In Construction,$127749431.30,41,Bay Area Counties
49 - Sonoma,11/26/2013,In Closure,$37987559.30,24,Bay Area Counties
56 - Ventura,11/26/2013,In Review,$234939632.68,47,Greater Los Angeles Counties
56 - Ventura,11/26/2013,Pending Construction,$9939234.33,34,Greater Los Angeles Counties
56 - Ventura,11/26/2013,In Construction,$393857321.00,68,Greater Los Angeles Counties
56 - Ventura,11/26/2013,In Closure,$34502052.00,57,Greater Los Angeles Counties
57 - Yolo,11/26/2013,In Review,$745911.00,6,Greater Sacramento Counties
57 - Yolo,11/26/2013,Pending Construction,$584000.00,3,Greater Sacramento Counties
57 - Yolo,11/26/2013,In Construction,$1502144.00,8,Greater Sacramento Counties
57 - Yolo,11/26/2013,In Closure,$59405.00,2,Greater Sacramento Counties
01 - Alameda,12/12/2013,In Review,$36928857.00,43,Bay Area Counties
01 - Alameda,12/12/2013,Pending Construction,$403337576.94,126,Bay Area Counties
01 - Alameda,12/12/2013,In Construction,$1481037884.93,187,Bay Area Counties
01 - Alameda,12/12/2013,In Closure,$62848475.80,63,Bay Area Counties
07 - Contra Costa,12/12/2013,In Review,$23339567.00,30,Bay Area Counties
07 - Contra Costa,12/12/2013,Pending Construction,$19654102.00,46,Bay Area Counties
07 - Contra Costa,12/12/2013,In Construction,$38514933.98,58,Bay Area Counties
07 - Contra Costa,12/12/2013,In Closure,$5006070.00,22,Bay Area Counties
09 - El Dorado,12/12/2013,In Review,$11759315.00,6,Greater Sacramento Counties
09 - El Dorado,12/12/2013,Pending Construction,$12500.00,1,Greater Sacramento Counties
09 - El Dorado,12/12/2013,In Construction,$12210865.00,6,Greater Sacramento Counties
09 - El Dorado,12/12/2013,In Closure,$23367713.00,4,Greater Sacramento Counties
19 - Los Angeles,12/12/2013,In Review,$499432716.68,436,Greater Los Angeles Counties
19 - Los Angeles,12/12/2013,Pending Construction,$270760517.98,508,Greater Los Angeles Counties
19 - Los Angeles,12/12/2013,In Construction,$2237166524.73,848,Greater Los Angeles Counties
19 - Los Angeles,12/12/2013,In Closure,$623617861.49,732,Greater Los Angeles Counties
21 - Marin,12/12/2013,In Review,$180528715.00,16,Bay Area Counties
21 - Marin,12/12/2013,Pending Construction,$44682250.00,11,Bay Area Counties
21 - Marin,12/12/2013,In Construction,$24286201.00,21,Bay Area Counties
21 - Marin,12/12/2013,In Closure,$6563197.00,13,Bay Area Counties
28 - Napa,12/12/2013,In Review,$535000.00,5,Bay Area Counties
28 - Napa,12/12/2013,Pending Construction,$669298.00,7,Bay Area Counties
28 - Napa,12/12/2013,In Construction,$34351720.00,12,Bay Area Counties
28 - Napa,12/12/2013,In Closure,$50586897.76,23,Bay Area Counties
30 - Orange,12/12/2013,In Review,$33368599.33,85,Greater Los Angeles Counties
30 - Orange,12/12/2013,Pending Construction,$23121267.33,63,Greater Los Angeles Counties
30 - Orange,12/12/2013,In Construction,$224983694.14,143,Greater Los Angeles Counties
30 - Orange,12/12/2013,In Closure,$336519324.51,211,Greater Los Angeles Counties
