"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02402V02895","Type of Building and Construction","UNIT","VALUE"
"BEQ04C01","Value of Production Index in Building and Construction","20001","2000Q1","-","All building and construction","Base 2015=100","143.514977427572"
"BEQ04C01","Value of Production Index in Building and Construction","20001","2000Q1","11","Building (excluding civil engineering)","Base 2015=100","182.795802254117"
"BEQ04C01","Value of Production Index in Building and Construction","20001","2000Q1","111","Residential building","Base 2015=100","279.281551222912"
"BEQ04C01","Value of Production Index in Building and Construction","20001","2000Q1","112","Non-residential building","Base 2015=100","115.359508444902"
"BEQ04C01","Value of Production Index in Building and Construction","20001","2000Q1","12","Civil engineering","Base 2015=100","60.4388869219421"
"BEQ04C01","Value of Production Index in Building and Construction","20002","2000Q2","-","All building and construction","Base 2015=100","153.542078417604"
"BEQ04C01","Value of Production Index in Building and Construction","20002","2000Q2","11","Building (excluding civil engineering)","Base 2015=100","196.823792013697"
"BEQ04C01","Value of Production Index in Building and Construction","20002","2000Q2","111","Residential building","Base 2015=100","306.710989289448"
"BEQ04C01","Value of Production Index in Building and Construction","20002","2000Q2","112","Non-residential building","Base 2015=100","119.799136019842"
"BEQ04C01","Value of Production Index in Building and Construction","20002","2000Q2","12","Civil engineering","Base 2015=100","62.7648863353802"
"BEQ04C01","Value of Production Index in Building and Construction","20003","2000Q3","-","All building and construction","Base 2015=100","162.663797696119"
"BEQ04C01","Value of Production Index in Building and Construction","20003","2000Q3","11","Building (excluding civil engineering)","Base 2015=100","209.384591799189"
"BEQ04C01","Value of Production Index in Building and Construction","20003","2000Q3","111","Residential building","Base 2015=100","330.40004943782"
"BEQ04C01","Value of Production Index in Building and Construction","20003","2000Q3","112","Non-residential building","Base 2015=100","124.415782182151"
"BEQ04C01","Value of Production Index in Building and Construction","20003","2000Q3","12","Civil engineering","Base 2015=100","65.1836289177972"
"BEQ04C01","Value of Production Index in Building and Construction","20004","2000Q4","-","All building and construction","Base 2015=100","163.688031688225"
"BEQ04C01","Value of Production Index in Building and Construction","20004","2000Q4","11","Building (excluding civil engineering)","Base 2015=100","210.372835031086"
"BEQ04C01","Value of Production Index in Building and Construction","20004","2000Q4","111","Residential building","Base 2015=100","330.40004943782"
"BEQ04C01","Value of Production Index in Building and Construction","20004","2000Q4","112","Non-residential building","Base 2015=100","126.150564896943"
"BEQ04C01","Value of Production Index in Building and Construction","20004","2000Q4","12","Civil engineering","Base 2015=100","66.0925122664424"
"BEQ04C01","Value of Production Index in Building and Construction","20011","2001Q1","-","All building and construction","Base 2015=100","167.381045922143"
"BEQ04C01","Value of Production Index in Building and Construction","20011","2001Q1","11","Building (excluding civil engineering)","Base 2015=100","209.547935300614"
"BEQ04C01","Value of Production Index in Building and Construction","20011","2001Q1","111","Residential building","Base 2015=100","332.224641008193"
"BEQ04C01","Value of Production Index in Building and Construction","20011","2001Q1","112","Non-residential building","Base 2015=100","123.359796621535"
"BEQ04C01","Value of Production Index in Building and Construction","20011","2001Q1","12","Civil engineering","Base 2015=100","75.9941511641423"
"BEQ04C01","Value of Production Index in Building and Construction","20012","2001Q2","-","All building and construction","Base 2015=100","178.852154835777"
"BEQ04C01","Value of Production Index in Building and Construction","20012","2001Q2","11","Building (excluding civil engineering)","Base 2015=100","226.467716398974"
"BEQ04C01","Value of Production Index in Building and Construction","20012","2001Q2","111","Residential building","Base 2015=100","369.617890714295"
"BEQ04C01","Value of Production Index in Building and Construction","20012","2001Q2","112","Non-residential building","Base 2015=100","125.543338713115"
"BEQ04C01","Value of Production Index in Building and Construction","20012","2001Q2","12","Civil engineering","Base 2015=100","77.3392929928335"
"BEQ04C01","Value of Production Index in Building and Construction","20013","2001Q3","-","All building and construction","Base 2015=100","178.185832197097"
"BEQ04C01","Value of Production Index in Building and Construction","20013","2001Q3","11","Building (excluding civil engineering)","Base 2015=100","224.606755902268"
"BEQ04C01","Value of Production Index in Building and Construction","20013","2001Q3","111","Residential building","Base 2015=100","362.42688107151"
"BEQ04C01","Value of Production Index in Building and Construction","20013","2001Q3","112","Non-residential building","Base 2015=100","127.568453462809"
"BEQ04C01","Value of Production Index in Building and Construction","20013","2001Q3","12","Civil engineering","Base 2015=100","78.5868378298977"
"BEQ04C01","Value of Production Index in Building and Construction","20014","2001Q4","-","All building and construction","Base 2015=100","181.92127049663"
"BEQ04C01","Value of Production Index in Building and Construction","20014","2001Q4","11","Building (excluding civil engineering)","Base 2015=100","229.999077901212"
"BEQ04C01","Value of Production Index in Building and Construction","20014","2001Q4","111","Residential building","Base 2015=100","373.932496437626"
"BEQ04C01","Value of Production Index in Building and Construction","20014","2001Q4","112","Non-residential building","Base 2015=100","128.567234462583"
"BEQ04C01","Value of Production Index in Building and Construction","20014","2001Q4","12","Civil engineering","Base 2015=100","79.2021235659531"
"BEQ04C01","Value of Production Index in Building and Construction","20021","2002Q1","-","All building and construction","Base 2015=100","174.135875231309"
"BEQ04C01","Value of Production Index in Building and Construction","20021","2002Q1","11","Building (excluding civil engineering)","Base 2015=100","207.80954408193"
"BEQ04C01","Value of Production Index in Building and Construction","20021","2002Q1","111","Residential building","Base 2015=100","339.824989817887"
"BEQ04C01","Value of Production Index in Building and Construction","20021","2002Q1","112","Non-residential building","Base 2015=100","114.71507074804"
"BEQ04C01","Value of Production Index in Building and Construction","20021","2002Q1","12","Civil engineering","Base 2015=100","94.451655957043"
"BEQ04C01","Value of Production Index in Building and Construction","20022","2002Q2","-","All building and construction","Base 2015=100","180.108692642037"
"BEQ04C01","Value of Production Index in Building and Construction","20022","2002Q2","11","Building (excluding civil engineering)","Base 2015=100","217.042843489989"
"BEQ04C01","Value of Production Index in Building and Construction","20022","2002Q2","111","Residential building","Base 2015=100","361.749182880295"
"BEQ04C01","Value of Production Index in Building and Construction","20022","2002Q2","112","Non-residential building","Base 2015=100","114.789324013223"
"BEQ04C01","Value of Production Index in Building and Construction","20022","2002Q2","12","Civil engineering","Base 2015=100","94.5127930387482"
"BEQ04C01","Value of Production Index in Building and Construction","20023","2002Q3","-","All building and construction","Base 2015=100","199.692913988463"
"BEQ04C01","Value of Production Index in Building and Construction","20023","2002Q3","11","Building (excluding civil engineering)","Base 2015=100","245.742968606831"
"BEQ04C01","Value of Production Index in Building and Construction","20023","2002Q3","111","Residential building","Base 2015=100","425.955747809799"
"BEQ04C01","Value of Production Index in Building and Construction","20023","2002Q3","112","Non-residential building","Base 2015=100","117.920335723626"
"BEQ04C01","Value of Production Index in Building and Construction","20023","2002Q3","12","Civil engineering","Base 2015=100","97.0907388918396"
"BEQ04C01","Value of Production Index in Building and Construction","20024","2002Q4","-","All building and construction","Base 2015=100","200.871352064674"
"BEQ04C01","Value of Production Index in Building and Construction","20024","2002Q4","11","Building (excluding civil engineering)","Base 2015=100","249.24659372488"
"BEQ04C01","Value of Production Index in Building and Construction","20024","2002Q4","111","Residential building","Base 2015=100","438.483857819477"
"BEQ04C01","Value of Production Index in Building and Construction","20024","2002Q4","112","Non-residential building","Base 2015=100","114.851201734208"
"BEQ04C01","Value of Production Index in Building and Construction","20024","2002Q4","12","Civil engineering","Base 2015=100","94.5637405538192"
"BEQ04C01","Value of Production Index in Building and Construction","20031","2003Q1","-","All building and construction","Base 2015=100","186.121145298732"
"BEQ04C01","Value of Production Index in Building and Construction","20031","2003Q1","11","Building (excluding civil engineering)","Base 2015=100","225.524788451493"
"BEQ04C01","Value of Production Index in Building and Construction","20031","2003Q1","111","Residential building","Base 2015=100","397.631705478083"
"BEQ04C01","Value of Production Index in Building and Construction","20031","2003Q1","112","Non-residential building","Base 2015=100","103.272660239551"
"BEQ04C01","Value of Production Index in Building and Construction","20031","2003Q1","12","Civil engineering","Base 2015=100","95.8011121745837"
"BEQ04C01","Value of Production Index in Building and Construction","20032","2003Q2","-","All building and construction","Base 2015=100","198.679281687862"
"BEQ04C01","Value of Production Index in Building and Construction","20032","2003Q2","11","Building (excluding civil engineering)","Base 2015=100","244.291054128083"
"BEQ04C01","Value of Production Index in Building and Construction","20032","2003Q2","111","Residential building","Base 2015=100","440.777215369425"
"BEQ04C01","Value of Production Index in Building and Construction","20032","2003Q2","112","Non-residential building","Base 2015=100","104.464456329272"
"BEQ04C01","Value of Production Index in Building and Construction","20032","2003Q2","12","Civil engineering","Base 2015=100","96.9066843851203"
"BEQ04C01","Value of Production Index in Building and Construction","20033","2003Q3","-","All building and construction","Base 2015=100","226.177970745465"
"BEQ04C01","Value of Production Index in Building and Construction","20033","2003Q3","11","Building (excluding civil engineering)","Base 2015=100","284.322183247792"
"BEQ04C01","Value of Production Index in Building and Construction","20033","2003Q3","111","Residential building","Base 2015=100","530.373583741029"
"BEQ04C01","Value of Production Index in Building and Construction","20033","2003Q3","112","Non-residential building","Base 2015=100","108.801722948082"
"BEQ04C01","Value of Production Index in Building and Construction","20033","2003Q3","12","Civil engineering","Base 2015=100","100.930159494411"
"BEQ04C01","Value of Production Index in Building and Construction","20034","2003Q4","-","All building and construction","Base 2015=100","233.092929640193"
"BEQ04C01","Value of Production Index in Building and Construction","20034","2003Q4","11","Building (excluding civil engineering)","Base 2015=100","294.353224950941"
"BEQ04C01","Value of Production Index in Building and Construction","20034","2003Q4","111","Residential building","Base 2015=100","552.741267802627"
"BEQ04C01","Value of Production Index in Building and Construction","20034","2003Q4","112","Non-residential building","Base 2015=100","109.949983021085"
"BEQ04C01","Value of Production Index in Building and Construction","20034","2003Q4","12","Civil engineering","Base 2015=100","101.995345488046"
"BEQ04C01","Value of Production Index in Building and Construction","20041","2004Q1","-","All building and construction","Base 2015=100","237.945161786829"
"BEQ04C01","Value of Production Index in Building and Construction","20041","2004Q1","11","Building (excluding civil engineering)","Base 2015=100","303.213988887259"
"BEQ04C01","Value of Production Index in Building and Construction","20041","2004Q1","111","Residential building","Base 2015=100","580.547758405582"
"BEQ04C01","Value of Production Index in Building and Construction","20041","2004Q1","112","Non-residential building","Base 2015=100","105.748305562215"
"BEQ04C01","Value of Production Index in Building and Construction","20041","2004Q1","12","Civil engineering","Base 2015=100","94.609819613647"
"BEQ04C01","Value of Production Index in Building and Construction","20042","2004Q2","-","All building and construction","Base 2015=100","266.74987313364"
"BEQ04C01","Value of Production Index in Building and Construction","20042","2004Q2","11","Building (excluding civil engineering)","Base 2015=100","337.612190719066"
"BEQ04C01","Value of Production Index in Building and Construction","20042","2004Q2","111","Residential building","Base 2015=100","650.115455006707"
"BEQ04C01","Value of Production Index in Building and Construction","20042","2004Q2","112","Non-residential building","Base 2015=100","115.122157470609"
"BEQ04C01","Value of Production Index in Building and Construction","20042","2004Q2","12","Civil engineering","Base 2015=100","111.17197785322"
"BEQ04C01","Value of Production Index in Building and Construction","20043","2004Q3","-","All building and construction","Base 2015=100","254.147598460311"
"BEQ04C01","Value of Production Index in Building and Construction","20043","2004Q3","11","Building (excluding civil engineering)","Base 2015=100","316.835449667276"
"BEQ04C01","Value of Production Index in Building and Construction","20043","2004Q3","111","Residential building","Base 2015=100","589.428221946443"
"BEQ04C01","Value of Production Index in Building and Construction","20043","2004Q3","112","Non-residential building","Base 2015=100","122.667284900791"
"BEQ04C01","Value of Production Index in Building and Construction","20043","2004Q3","12","Civil engineering","Base 2015=100","116.605642020413"
"BEQ04C01","Value of Production Index in Building and Construction","20044","2004Q4","-","All building and construction","Base 2015=100","252.436904943265"
"BEQ04C01","Value of Production Index in Building and Construction","20044","2004Q4","11","Building (excluding civil engineering)","Base 2015=100","318.618921153532"
"BEQ04C01","Value of Production Index in Building and Construction","20044","2004Q4","111","Residential building","Base 2015=100","600.41079346222"
"BEQ04C01","Value of Production Index in Building and Construction","20044","2004Q4","112","Non-residential building","Base 2015=100","117.935244566517"
"BEQ04C01","Value of Production Index in Building and Construction","20044","2004Q4","12","Civil engineering","Base 2015=100","107.150768569467"
"BEQ04C01","Value of Production Index in Building and Construction","20051","2005Q1","-","All building and construction","Base 2015=100","256.292300915476"
"BEQ04C01","Value of Production Index in Building and Construction","20051","2005Q1","11","Building (excluding civil engineering)","Base 2015=100","326.56879484208"
"BEQ04C01","Value of Production Index in Building and Construction","20051","2005Q1","111","Residential building","Base 2015=100","627.890235347781"
"BEQ04C01","Value of Production Index in Building and Construction","20051","2005Q1","112","Non-residential building","Base 2015=100","112.035877720033"
"BEQ04C01","Value of Production Index in Building and Construction","20051","2005Q1","12","Civil engineering","Base 2015=100","101.96056312197"
"BEQ04C01","Value of Production Index in Building and Construction","20052","2005Q2","-","All building and construction","Base 2015=100","298.841241058275"
"BEQ04C01","Value of Production Index in Building and Construction","20052","2005Q2","11","Building (excluding civil engineering)","Base 2015=100","381.876433349431"
"BEQ04C01","Value of Production Index in Building and Construction","20052","2005Q2","111","Residential building","Base 2015=100","741.81644907467"
"BEQ04C01","Value of Production Index in Building and Construction","20052","2005Q2","112","Non-residential building","Base 2015=100","125.642898845117"
"BEQ04C01","Value of Production Index in Building and Construction","20052","2005Q2","12","Civil engineering","Base 2015=100","116.471132731865"
"BEQ04C01","Value of Production Index in Building and Construction","20053","2005Q3","-","All building and construction","Base 2015=100","303.371672884521"
"BEQ04C01","Value of Production Index in Building and Construction","20053","2005Q3","11","Building (excluding civil engineering)","Base 2015=100","376.464446188823"
"BEQ04C01","Value of Production Index in Building and Construction","20053","2005Q3","111","Residential building","Base 2015=100","717.866952945904"
"BEQ04C01","Value of Production Index in Building and Construction","20053","2005Q3","112","Non-residential building","Base 2015=100","133.367965081126"
"BEQ04C01","Value of Production Index in Building and Construction","20053","2005Q3","12","Civil engineering","Base 2015=100","143.034964477256"
"BEQ04C01","Value of Production Index in Building and Construction","20054","2005Q4","-","All building and construction","Base 2015=100","305.259103072285"
"BEQ04C01","Value of Production Index in Building and Construction","20054","2005Q4","11","Building (excluding civil engineering)","Base 2015=100","379.558888312479"
"BEQ04C01","Value of Production Index in Building and Construction","20054","2005Q4","111","Residential building","Base 2015=100","706.414467117522"
"BEQ04C01","Value of Production Index in Building and Construction","20054","2005Q4","112","Non-residential building","Base 2015=100","146.740848628722"
"BEQ04C01","Value of Production Index in Building and Construction","20054","2005Q4","12","Civil engineering","Base 2015=100","142.259438481434"
"BEQ04C01","Value of Production Index in Building and Construction","20061","2006Q1","-","All building and construction","Base 2015=100","304.241934942148"
"BEQ04C01","Value of Production Index in Building and Construction","20061","2006Q1","11","Building (excluding civil engineering)","Base 2015=100","379.551955020777"
"BEQ04C01","Value of Production Index in Building and Construction","20061","2006Q1","111","Residential building","Base 2015=100","711.76729062178"
"BEQ04C01","Value of Production Index in Building and Construction","20061","2006Q1","112","Non-residential building","Base 2015=100","142.942143280672"
"BEQ04C01","Value of Production Index in Building and Construction","20061","2006Q1","12","Civil engineering","Base 2015=100","139.000768982884"
"BEQ04C01","Value of Production Index in Building and Construction","20062","2006Q2","-","All building and construction","Base 2015=100","315.439027601418"
"BEQ04C01","Value of Production Index in Building and Construction","20062","2006Q2","11","Building (excluding civil engineering)","Base 2015=100","394.636630957154"
"BEQ04C01","Value of Production Index in Building and Construction","20062","2006Q2","111","Residential building","Base 2015=100","748.704594518197"
"BEQ04C01","Value of Production Index in Building and Construction","20062","2006Q2","112","Non-residential building","Base 2015=100","142.504155010533"
"BEQ04C01","Value of Production Index in Building and Construction","20062","2006Q2","12","Civil engineering","Base 2015=100","141.645920445715"
"BEQ04C01","Value of Production Index in Building and Construction","20063","2006Q3","-","All building and construction","Base 2015=100","309.607800531758"
"BEQ04C01","Value of Production Index in Building and Construction","20063","2006Q3","11","Building (excluding civil engineering)","Base 2015=100","381.886279346242"
"BEQ04C01","Value of Production Index in Building and Construction","20063","2006Q3","111","Residential building","Base 2015=100","720.491580631903"
"BEQ04C01","Value of Production Index in Building and Construction","20063","2006Q3","112","Non-residential building","Base 2015=100","140.746110751338"
"BEQ04C01","Value of Production Index in Building and Construction","20063","2006Q3","12","Civil engineering","Base 2015=100","151.104293727372"
"BEQ04C01","Value of Production Index in Building and Construction","20064","2006Q4","-","All building and construction","Base 2015=100","349.938187826664"
"BEQ04C01","Value of Production Index in Building and Construction","20064","2006Q4","11","Building (excluding civil engineering)","Base 2015=100","433.067359745989"
"BEQ04C01","Value of Production Index in Building and Construction","20064","2006Q4","111","Residential building","Base 2015=100","825.71675499562"
"BEQ04C01","Value of Production Index in Building and Construction","20064","2006Q4","112","Non-residential building","Base 2015=100","153.480020222558"
"BEQ04C01","Value of Production Index in Building and Construction","20064","2006Q4","12","Civil engineering","Base 2015=100","167.609561307026"
"BEQ04C01","Value of Production Index in Building and Construction","20071","2007Q1","-","All building and construction","Base 2015=100","284.130736561637"
"BEQ04C01","Value of Production Index in Building and Construction","20071","2007Q1","11","Building (excluding civil engineering)","Base 2015=100","342.700078344427"
"BEQ04C01","Value of Production Index in Building and Construction","20071","2007Q1","111","Residential building","Base 2015=100","617.198391741905"
"BEQ04C01","Value of Production Index in Building and Construction","20071","2007Q1","112","Non-residential building","Base 2015=100","147.076171254237"
"BEQ04C01","Value of Production Index in Building and Construction","20071","2007Q1","12","Civil engineering","Base 2015=100","155.853126403735"
"BEQ04C01","Value of Production Index in Building and Construction","20072","2007Q2","-","All building and construction","Base 2015=100","308.98813604709"
"BEQ04C01","Value of Production Index in Building and Construction","20072","2007Q2","11","Building (excluding civil engineering)","Base 2015=100","375.233997717191"
"BEQ04C01","Value of Production Index in Building and Construction","20072","2007Q2","111","Residential building","Base 2015=100","688.443367339795"
"BEQ04C01","Value of Production Index in Building and Construction","20072","2007Q2","112","Non-residential building","Base 2015=100","152.08809422491"
"BEQ04C01","Value of Production Index in Building and Construction","20072","2007Q2","12","Civil engineering","Base 2015=100","163.837064446969"
"BEQ04C01","Value of Production Index in Building and Construction","20073","2007Q3","-","All building and construction","Base 2015=100","283.122152704952"
"BEQ04C01","Value of Production Index in Building and Construction","20073","2007Q3","11","Building (excluding civil engineering)","Base 2015=100","336.740515991284"
"BEQ04C01","Value of Production Index in Building and Construction","20073","2007Q3","111","Residential building","Base 2015=100","588.173909703037"
"BEQ04C01","Value of Production Index in Building and Construction","20073","2007Q3","112","Non-residential building","Base 2015=100","157.458895300202"
"BEQ04C01","Value of Production Index in Building and Construction","20073","2007Q3","12","Civil engineering","Base 2015=100","165.800465424272"
"BEQ04C01","Value of Production Index in Building and Construction","20074","2007Q4","-","All building and construction","Base 2015=100","284.373266080607"
"BEQ04C01","Value of Production Index in Building and Construction","20074","2007Q4","11","Building (excluding civil engineering)","Base 2015=100","336.287131664938"
"BEQ04C01","Value of Production Index in Building and Construction","20074","2007Q4","111","Residential building","Base 2015=100","585.846847290155"
"BEQ04C01","Value of Production Index in Building and Construction","20074","2007Q4","112","Non-residential building","Base 2015=100","158.332948048061"
"BEQ04C01","Value of Production Index in Building and Construction","20074","2007Q4","12","Civil engineering","Base 2015=100","170.831234012442"
"BEQ04C01","Value of Production Index in Building and Construction","20081","2008Q1","-","All building and construction","Base 2015=100","227.800645388296"
"BEQ04C01","Value of Production Index in Building and Construction","20081","2008Q1","11","Building (excluding civil engineering)","Base 2015=100","262.611494736378"
"BEQ04C01","Value of Production Index in Building and Construction","20081","2008Q1","111","Residential building","Base 2015=100","418.999056415455"
"BEQ04C01","Value of Production Index in Building and Construction","20081","2008Q1","112","Non-residential building","Base 2015=100","150.879658557711"
"BEQ04C01","Value of Production Index in Building and Construction","20081","2008Q1","12","Civil engineering","Base 2015=100","151.846274296517"
"BEQ04C01","Value of Production Index in Building and Construction","20082","2008Q2","-","All building and construction","Base 2015=100","227.673055198567"
"BEQ04C01","Value of Production Index in Building and Construction","20082","2008Q2","11","Building (excluding civil engineering)","Base 2015=100","255.503778324213"
"BEQ04C01","Value of Production Index in Building and Construction","20082","2008Q2","111","Residential building","Base 2015=100","395.349127130655"
"BEQ04C01","Value of Production Index in Building and Construction","20082","2008Q2","112","Non-residential building","Base 2015=100","155.504473883501"
"BEQ04C01","Value of Production Index in Building and Construction","20082","2008Q2","12","Civil engineering","Base 2015=100","167.171189286002"
"BEQ04C01","Value of Production Index in Building and Construction","20083","2008Q3","-","All building and construction","Base 2015=100","207.237889411472"
"BEQ04C01","Value of Production Index in Building and Construction","20083","2008Q3","11","Building (excluding civil engineering)","Base 2015=100","227.235857836171"
"BEQ04C01","Value of Production Index in Building and Construction","20083","2008Q3","111","Residential building","Base 2015=100","329.368678941908"
"BEQ04C01","Value of Production Index in Building and Construction","20083","2008Q3","112","Non-residential building","Base 2015=100","154.034357431686"
"BEQ04C01","Value of Production Index in Building and Construction","20083","2008Q3","12","Civil engineering","Base 2015=100","163.976966079514"
"BEQ04C01","Value of Production Index in Building and Construction","20084","2008Q4","-","All building and construction","Base 2015=100","186.820357868685"
"BEQ04C01","Value of Production Index in Building and Construction","20084","2008Q4","11","Building (excluding civil engineering)","Base 2015=100","202.170099428813"
"BEQ04C01","Value of Production Index in Building and Construction","20084","2008Q4","111","Residential building","Base 2015=100","261.168522398431"
"BEQ04C01","Value of Production Index in Building and Construction","20084","2008Q4","112","Non-residential building","Base 2015=100","159.588803888187"
"BEQ04C01","Value of Production Index in Building and Construction","20084","2008Q4","12","Civil engineering","Base 2015=100","153.750316058636"
"BEQ04C01","Value of Production Index in Building and Construction","20091","2009Q1","-","All building and construction","Base 2015=100","143.684676102336"
"BEQ04C01","Value of Production Index in Building and Construction","20091","2009Q1","11","Building (excluding civil engineering)","Base 2015=100","148.921430182213"
"BEQ04C01","Value of Production Index in Building and Construction","20091","2009Q1","111","Residential building","Base 2015=100","177.313545762535"
"BEQ04C01","Value of Production Index in Building and Construction","20091","2009Q1","112","Non-residential building","Base 2015=100","128.214679470104"
"BEQ04C01","Value of Production Index in Building and Construction","20091","2009Q1","12","Civil engineering","Base 2015=100","132.792865673888"
"BEQ04C01","Value of Production Index in Building and Construction","20092","2009Q2","-","All building and construction","Base 2015=100","136.117361812248"
"BEQ04C01","Value of Production Index in Building and Construction","20092","2009Q2","11","Building (excluding civil engineering)","Base 2015=100","135.357240212555"
"BEQ04C01","Value of Production Index in Building and Construction","20092","2009Q2","111","Residential building","Base 2015=100","153.980466787289"
"BEQ04C01","Value of Production Index in Building and Construction","20092","2009Q2","112","Non-residential building","Base 2015=100","121.618084528284"
"BEQ04C01","Value of Production Index in Building and Construction","20092","2009Q2","12","Civil engineering","Base 2015=100","138.464929369481"
"BEQ04C01","Value of Production Index in Building and Construction","20093","2009Q3","-","All building and construction","Base 2015=100","129.637984455345"
"BEQ04C01","Value of Production Index in Building and Construction","20093","2009Q3","11","Building (excluding civil engineering)","Base 2015=100","123.875187321564"
"BEQ04C01","Value of Production Index in Building and Construction","20093","2009Q3","111","Residential building","Base 2015=100","129.547519130481"
"BEQ04C01","Value of Production Index in Building and Construction","20093","2009Q3","112","Non-residential building","Base 2015=100","119.346085055654"
"BEQ04C01","Value of Production Index in Building and Construction","20093","2009Q3","12","Civil engineering","Base 2015=100","143.029208091589"
"BEQ04C01","Value of Production Index in Building and Construction","20094","2009Q4","-","All building and construction","Base 2015=100","118.677200390698"
"BEQ04C01","Value of Production Index in Building and Construction","20094","2009Q4","11","Building (excluding civil engineering)","Base 2015=100","112.72256142301"
"BEQ04C01","Value of Production Index in Building and Construction","20094","2009Q4","111","Residential building","Base 2015=100","119.582953654087"
"BEQ04C01","Value of Production Index in Building and Construction","20094","2009Q4","112","Non-residential building","Base 2015=100","107.399427899243"
"BEQ04C01","Value of Production Index in Building and Construction","20094","2009Q4","12","Civil engineering","Base 2015=100","132.439608977018"
"BEQ04C01","Value of Production Index in Building and Construction","20101","2010Q1","-","All building and construction","Base 2015=100","90.6815531094466"
"BEQ04C01","Value of Production Index in Building and Construction","20101","2010Q1","11","Building (excluding civil engineering)","Base 2015=100","83.6256971493847"
"BEQ04C01","Value of Production Index in Building and Construction","20101","2010Q1","111","Residential building","Base 2015=100","87.9644974356549"
"BEQ04C01","Value of Production Index in Building and Construction","20101","2010Q1","112","Non-residential building","Base 2015=100","80.1403111429848"
"BEQ04C01","Value of Production Index in Building and Construction","20101","2010Q1","12","Civil engineering","Base 2015=100","106.882672411855"
"BEQ04C01","Value of Production Index in Building and Construction","20102","2010Q2","-","All building and construction","Base 2015=100","95.7841114643568"
"BEQ04C01","Value of Production Index in Building and Construction","20102","2010Q2","11","Building (excluding civil engineering)","Base 2015=100","83.9025720275154"
"BEQ04C01","Value of Production Index in Building and Construction","20102","2010Q2","111","Residential building","Base 2015=100","92.9740258150884"
"BEQ04C01","Value of Production Index in Building and Construction","20102","2010Q2","112","Non-residential building","Base 2015=100","76.6154152093138"
"BEQ04C01","Value of Production Index in Building and Construction","20102","2010Q2","12","Civil engineering","Base 2015=100","123.065597793175"
"BEQ04C01","Value of Production Index in Building and Construction","20103","2010Q3","-","All building and construction","Base 2015=100","93.5634918771807"
"BEQ04C01","Value of Production Index in Building and Construction","20103","2010Q3","11","Building (excluding civil engineering)","Base 2015=100","92.4481749652974"
"BEQ04C01","Value of Production Index in Building and Construction","20103","2010Q3","111","Residential building","Base 2015=100","95.4041895680968"
"BEQ04C01","Value of Production Index in Building and Construction","20103","2010Q3","112","Non-residential building","Base 2015=100","90.0735895380969"
"BEQ04C01","Value of Production Index in Building and Construction","20103","2010Q3","12","Civil engineering","Base 2015=100","96.1243976626298"
"BEQ04C01","Value of Production Index in Building and Construction","20104","2010Q4","-","All building and construction","Base 2015=100","95.2364192291285"
"BEQ04C01","Value of Production Index in Building and Construction","20104","2010Q4","11","Building (excluding civil engineering)","Base 2015=100","93.0070009201357"
"BEQ04C01","Value of Production Index in Building and Construction","20104","2010Q4","111","Residential building","Base 2015=100","91.9859991401427"
"BEQ04C01","Value of Production Index in Building and Construction","20104","2010Q4","112","Non-residential building","Base 2015=100","93.8271781769127"
"BEQ04C01","Value of Production Index in Building and Construction","20104","2010Q4","12","Civil engineering","Base 2015=100","100.355439827537"
"BEQ04C01","Value of Production Index in Building and Construction","20111","2011Q1","-","All building and construction","Base 2015=100","68.4892748073368"
"BEQ04C01","Value of Production Index in Building and Construction","20111","2011Q1","11","Building (excluding civil engineering)","Base 2015=100","69.5878191202959"
"BEQ04C01","Value of Production Index in Building and Construction","20111","2011Q1","111","Residential building","Base 2015=100","65.5545782165471"
"BEQ04C01","Value of Production Index in Building and Construction","20111","2011Q1","112","Non-residential building","Base 2015=100","72.8277473213814"
"BEQ04C01","Value of Production Index in Building and Construction","20111","2011Q1","12","Civil engineering","Base 2015=100","65.9668809866619"
"BEQ04C01","Value of Production Index in Building and Construction","20112","2011Q2","-","All building and construction","Base 2015=100","70.7201661379171"
"BEQ04C01","Value of Production Index in Building and Construction","20112","2011Q2","11","Building (excluding civil engineering)","Base 2015=100","70.0833455410036"
"BEQ04C01","Value of Production Index in Building and Construction","20112","2011Q2","111","Residential building","Base 2015=100","61.8933193676055"
"BEQ04C01","Value of Production Index in Building and Construction","20112","2011Q2","112","Non-residential building","Base 2015=100","76.6624459220788"
"BEQ04C01","Value of Production Index in Building and Construction","20112","2011Q2","12","Civil engineering","Base 2015=100","72.182385112231"
"BEQ04C01","Value of Production Index in Building and Construction","20113","2011Q3","-","All building and construction","Base 2015=100","78.9799454356307"
"BEQ04C01","Value of Production Index in Building and Construction","20113","2011Q3","11","Building (excluding civil engineering)","Base 2015=100","76.2114964031669"
"BEQ04C01","Value of Production Index in Building and Construction","20113","2011Q3","111","Residential building","Base 2015=100","62.9947715051189"
"BEQ04C01","Value of Production Index in Building and Construction","20113","2011Q3","112","Non-residential building","Base 2015=100","86.8285760036874"
"BEQ04C01","Value of Production Index in Building and Construction","20113","2011Q3","12","Civil engineering","Base 2015=100","85.3366473455703"
"BEQ04C01","Value of Production Index in Building and Construction","20114","2011Q4","-","All building and construction","Base 2015=100","86.7348575271"
"BEQ04C01","Value of Production Index in Building and Construction","20114","2011Q4","11","Building (excluding civil engineering)","Base 2015=100","81.9592220437813"
